animal_id,animal_type,primary_color,secondary_color,sex,dob,intake_date,animal_age,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,outcome_type,outcome_subtype,latitude,longitude
A708567,cat,black,white,Female,2023-08-29,2023-10-10,42,i/i report,stray,field,NA,2023-11-20,rescue,littlepaws,33.8504744,-118.1936361
A718412,cat,black,NA,Male,2024-04-05,2024-04-11,6,under age/weight,stray,field,NA,2024-06-11,rescue,littlelion,33.8581828,-118.1953974
A718413,cat,black,NA,Female,2024-04-05,2024-04-11,6,under age/weight,stray,field,NA,2024-06-11,rescue,littlelion,33.8581828,-118.1953974
A607623,cat,white,black,Spayed,2016-05-15,2018-05-15,730,normal,stray,field,NA,2018-06-12,"shelter, neuter, return",straycatal,33.8641608,-118.1935283
A607624,cat,white,black,Unknown,2018-04-23,2018-05-15,22,under age/weight,stray,field,NA,2018-05-25,euthanasia,undrage/wt,33.8641608,-118.1935283
A597461,cat,gray,NA,Unknown,2017-08-21,2017-09-21,31,under age/weight,stray,field,NA,2017-09-23,rescue,littlelion,33.8799165,-118.2025639
A717272,dog,black,NA,Spayed,2019-03-20,2024-03-18,1825,normal,stray,field,NA,2024-03-27,return to owner,fre rid hm,33.7826071,-118.1924093
A676522,dog,brown,NA,Neutered,2022-02-06,2022-06-05,119,normal,stray,field,NA,2022-06-16,homefirst,NA,33.8672067,-118.2005567
A706704,dog,tan,NA,Female,2018-09-12,2023-09-12,1826,injured  severe,stray,field,NA,2023-09-13,euthanasia,at vet,33.8465498,-118.1937565
A610057,dog,black,NA,Neutered,2017-12-21,2018-06-21,182,normal,stray,field,NA,2018-06-22,return to owner,walkin,33.7996711,-118.1923808
A678876,cat,white,gray,Neutered,2022-04-05,2022-07-05,91,ill mild,stray,field,NA,2022-08-25,adoption,NA,33.812501,-118.192098
A721541,dog,brown,NA,Female,2019-05-25,2024-05-25,1827,injured  moderate,stray,field,NA,2024-05-28,euthanasia,inj severe,33.85405009999999,-118.1935729
A585714,dog,black,white,Female,2016-02-12,2017-02-12,366,normal,stray,field,NA,2017-02-18,transfer,spcala,33.8540693,-118.1935615
A650200,cat,black,white,Neutered,2020-06-16,2020-10-16,122,normal,stray,field,NA,2020-11-05,adoption,web,33.8540693,-118.1935615
A606752,dog,tan,white,Male,2017-11-26,2018-04-26,151,normal,stray,field,NA,2018-05-02,transfer,spcala,33.8634376,-118.1939327
A355980,dog,brown,NA,Spayed,2009-02-23,2017-06-28,3047,normal,stray,field,NA,2017-06-28,return to owner,walkin,33.8509978,-118.1935457
A665826,cat,black,NA,Male,2021-09-27,2021-10-26,29,injured  severe,stray,field,NA,2021-11-19,rescue,catpaws,33.8619449,-118.1950878
A684764,dog,brown,white,Neutered,2021-09-22,2022-09-22,365,normal,stray,field,NA,2022-10-19,adoption,NA,33.8619449,-118.1950878
A630899,dog,black,white,Female,2017-07-29,2019-07-29,730,normal,owner surrender,field,move,2019-07-30,transfer,spcala,33.7945979,-118.1923718
A701216,cat,white,NA,Female,2021-06-19,2023-06-19,730,injured  severe,stray,field,NA,2023-06-19,euthanasia,inj severe,33.8584198,-118.1949481
A623843,dog,brown,black,Male,2018-03-27,2019-03-27,365,normal,stray,field,NA,2019-04-02,transfer,spcala,33.8447148,-118.17948
A647850,cat,gray,white,Spayed,2018-08-27,2020-08-27,731,normal,stray,field,NA,2020-08-28,return to owner,phone,33.7543452,-118.1235029
A672623,dog,tan,white,Male,2014-04-02,2022-04-02,2922,normal,stray,field,NA,2022-04-21,adoption,NA,33.8137438,-118.1932185
A591450,cat,gray,white,Neutered,2012-06-07,2017-06-07,1826,injured  severe,stray,field,NA,2017-06-15,"shelter, neuter, return",straycatal,33.8487616,-118.1980605
A565264,cat,gray,white,Neutered,2015-03-02,2022-03-02,2557,injured  moderate,stray,field,NA,2022-04-21,community cat,NA,33.8502533,-118.1981314
A693480,dog,black,NA,Spayed,2019-02-16,2023-02-16,1461,normal,stray,field,NA,2023-03-01,adoption,web,33.8777064,-118.2038327
A612121,cat,black,NA,Female,2018-07-01,2018-08-01,31,under age/weight,stray,field,NA,2018-08-03,transfer,spcala,33.7741205,-118.1923985
A616005,dog,black,tan,Spayed,2002-10-09,2021-10-20,6951,ill moderatete,stray,field,NA,2021-10-21,return to owner,walkin,33.8702803,-118.2032493
A606141,dog,black,white,Male,2016-04-12,2018-07-02,811,normal,stray,field,NA,2018-07-11,return to owner,walkin,33.867414,-118.2028381
A708151,cat,black,NA,Neutered,2023-08-21,2023-10-03,43,under age/weight,stray,field,NA,2024-01-14,adoption,NA,33.867414,-118.2028381
A618063,dog,tan,white,Female,2014-11-25,2018-11-25,1461,normal,stray,field,NA,2018-11-28,return to owner,walkin,33.8548651,-118.1986475
A689829,dog,gray,NA,Neutered,2022-03-03,2022-12-02,274,normal,stray,field,NA,2023-03-19,adoption,web,33.8530881,-118.1986884
A616656,dog,white,NA,Male,2017-10-25,2018-10-25,365,injured  moderate,stray,field,NA,2018-11-11,rescue,livelove,33.8116506,-118.1921579
A624232,dog,brown,white,Female,2019-02-25,2019-04-03,37,under age/weight,stray,field,NA,2019-04-06,transfer,spcala,33.8495902,-118.1990145
A632532,cat,white,gray,Spayed,2019-08-04,2019-08-25,21,under age/weight,stray,field,NA,2019-11-20,adoption,pfe/pawshp,33.8495902,-118.1990145
A607049,dog,white,tan,Female,2008-05-03,2018-05-03,3652,ill moderatete,stray,field,NA,2018-05-12,rescue,folba,33.8495902,-118.1990145
A693077,dog,gray,white,Male,2022-10-08,2023-02-08,123,injured  mild,stray,field,NA,2023-03-04,adoption,web,33.8680256,-118.2008129
A691634,dog,gray,white,Female,2015-01-09,2023-01-09,2922,injured  mild,stray,field,NA,2023-01-11,euthanasia,ill severe,33.7555273,-118.1327143
A593418,cat,white,NA,Unknown,2017-07-13,2017-07-13,0,under age/weight,stray,field,NA,2017-07-18,rescue,zoeysplace,33.8742238,-118.2026551
A724679,cat,gray,white,Spayed,2023-07-15,2024-07-14,365,normal,stray,aban field,NA,2024-08-04,rescue,kittybunga,33.8549898,-118.1934473
A599837,cat,white,brown  tabby,Unknown,NA,2017-11-08,NA,injured  severe,stray,field,NA,2017-11-08,euthanasia,inj severe,33.8540693,-118.1935615
A718720,dog,tan,NA,Neutered,2019-04-14,2024-04-14,1827,injured  severe,stray,field,NA,2024-04-19,rescue,NA,33.8509978,-118.1935457
A723010,cat,black,white,Spayed,2024-06-17,2024-06-19,2,under age/weight,stray,field,NA,2024-08-31,adoption,web,33.7655355,-118.1659567
A677991,cat,black,NA,Female,2021-06-18,2022-06-18,365,injured  severe,stray,field,NA,2022-06-18,euthanasia,inj severe,33.8767505,-118.2037218
A724496,dog,brown,white,Spayed,2023-08-12,2024-07-11,334,injured  severe,stray,field,NA,2024-10-27,adoption,web,33.7789677,-118.17907
A311800,dog,black,tan,Neutered,2005-09-22,2017-06-14,4283,injured  moderate,owner surrender,field,no time,2017-06-22,rescue,livelove,33.7789677,-118.17907
A614942,dog,gray,NA,Male,2015-09-19,2018-09-19,1096,normal,stray,field,NA,2018-09-26,transfer,spcala,33.7789677,-118.17907
A707072,cat,black,NA,Female,2023-08-04,2023-09-19,46,ill moderatete,stray,field,NA,2023-09-20,euthanasia,ill mild,33.7789902,-118.1950695
A602802,cat,black,white,Unknown,2015-01-19,2018-01-19,1096,ill mild,stray,field,NA,2018-01-19,euthanasia,ill modera,33.8524273,-118.1959944
A705581,rabbit,white,NA,Spayed,2023-02-26,2023-08-26,181,normal,stray,field,NA,2023-11-08,rescue,blacksmith,33.7789736,-118.1775378
A733480,dog,black,NA,Female,2022-12-01,2024-12-01,731,normal,stray,field,NA,2024-12-01,return to owner,microchip,33.7790114,-118.1676651
A655777,cat,black,NA,Male,2016-04-02,2021-04-02,1826,injured  severe,stray,field,NA,2021-04-02,euthanasia,at vet,33.8672337,-118.2008716
A396686,dog,white,NA,Male,2008-10-24,2017-08-21,3223,normal,stray,field,NA,2017-11-03,euthanasia,beh modera,33.7790114,-118.1676651
A695677,dog,black,brown,Male,2022-08-29,2023-03-29,212,ill moderatete,owner surrender,field,NA,2023-04-01,rescue,zepandfrnd,33.7789799,-118.1963506
A694731,dog,brown,white,Male,2022-12-01,2023-03-16,105,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A694729,dog,tan,white,Female,2022-03-16,2023-03-16,365,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A723645,dog,tan,white,Male,2023-12-02,2024-06-29,210,injured  mild,stray,field,NA,2024-07-06,rescue,NA,33.7789723,-118.1654888
A694741,dog,black,brown,Male,2022-12-01,2023-03-16,105,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A694748,dog,tan,white,Unknown,2023-03-15,2023-03-16,1,normal,owner surrender,field,NA,2023-03-24,rescue,prclsspets,33.846061,-118.1936055
A694737,dog,white,tan,Female,2022-12-01,2023-03-16,105,normal,owner surrender,field,NA,2023-03-16,transfer,spcala,33.846061,-118.1936055
A607684,cat,black,white,Neutered,2016-05-16,2018-05-16,730,fractious,stray,field,NA,2018-05-31,"shelter, neuter, return",straycatal,33.7868197,-118.1783397
A703259,cat,black,white,Unknown,2016-07-21,2023-07-21,2556,injured  severe,stray,field,NA,2023-07-21,euthanasia,ill severe,33.7953225,-118.1806772
A595242,dog,black,white,Female,2015-08-12,2017-08-12,731,injured  moderate,stray,field,NA,2017-08-19,adoption,NA,33.8532923,-118.1962989
A585297,dog,tan,NA,Spayed,2013-02-01,2017-02-01,1461,normal,stray,field,NA,2017-03-08,adoption,walkin,33.8398639,-118.1822288
A708770,dog,black,brown,Female,2023-05-13,2023-10-13,153,ill severe,stray,field,NA,2023-10-13,died,enroute,33.7729834,-118.1796718
A678231,bird,white,black,Unknown,NA,2022-06-23,NA,injured  mild,stray,field,NA,2022-06-23,euthanasia,ill severe,33.8542762,-118.1972215
A597860,cat,brown,tan,Female,2004-09-27,2017-09-27,4748,normal,stray,field,NA,2017-10-01,euthanasia,ill severe,33.8460665,-118.1940513
A725549,cat,black,NA,Male,2023-07-25,2024-07-25,366,ill severe,stray,field,NA,2024-07-26,euthanasia,ill severe,33.7584892,-118.1434117
A466992,dog,white,brown,Male,2009-05-26,2018-01-11,3152,normal,stray,field,NA,2018-01-11,return to owner,microchip,33.8812326,-118.1801708
A602174,dog,black,white,Female,2016-01-11,2018-01-11,731,normal,stray,field,NA,2018-01-17,transfer,spcala,33.8812326,-118.1801708
A602175,dog,tan,white,Spayed,2015-01-11,2018-01-11,1096,normal,stray,field,NA,2018-01-17,transfer,spcala,33.8812326,-118.1801708
A602170,dog,black,tan,Male,2015-01-11,2018-01-11,1096,normal,stray,field,NA,2018-01-17,transfer,spcala,33.8812326,-118.1801708
A597423,dog,black,gray,Female,2012-09-20,2017-09-20,1826,normal,stray,field,NA,2017-09-27,transfer,spcala,33.8812326,-118.1801708
A613424,cat,gray,white,Male,2017-10-22,2018-08-22,304,ill severe,stray,field,NA,2018-08-22,died,enroute,33.8825758,-118.1808452
A590248,cat,black,white,Male,2017-04-04,2017-05-13,39,under age/weight,stray,field,NA,2017-05-18,rescue,fndanifoun,33.7751351,-118.1799603
A590247,cat,black,white,Male,2017-04-04,2017-05-13,39,under age/weight,stray,field,NA,2017-05-18,rescue,fndanifoun,33.7751351,-118.1799603
A592316,cat,black,white,Unknown,2017-05-23,2017-06-23,31,under age/weight,stray,field,NA,2017-06-30,transfer,spcala,33.7751351,-118.1799603
A598295,cat,black,NA,Spayed,2016-10-05,2017-10-05,365,normal,stray,field,NA,2017-11-15,transfer,spcala,33.7687786,-118.1802839
A630320,dog,brown,black,Neutered,2017-07-21,2019-07-21,730,normal,stray,field,NA,2019-08-21,adoption,walkin,33.7771452,-118.179622
A682431,cat,white,gray,Male,2022-07-24,2022-08-24,31,under age/weight,stray,field,NA,2022-10-07,rescue,littlelion,33.8523028,-118.1794782
A496404,dog,brown,NA,Neutered,2012-08-25,2017-12-21,1944,normal,stray,field,NA,2017-12-27,return to owner,walkin,33.8504744,-118.1936361
A682430,cat,gray,NA,Spayed,2022-07-24,2022-08-24,31,under age/weight,stray,field,NA,2022-09-17,adoption,web,33.8523028,-118.1794782
A612793,cat,gray,NA,Male,2018-07-24,2018-08-14,21,under age/weight,stray,field,NA,2018-08-28,euthanasia,ill severe,33.8535366,-118.1825909
A613557,cat,brown,gray,Unknown,2015-08-24,2018-08-24,1096,injured  severe,stray,field,NA,2018-08-24,euthanasia,inj severe,33.7739773,-118.191797
A607627,cat,white,black,Unknown,2018-04-23,2018-05-15,22,under age/weight,stray,field,NA,2018-05-25,euthanasia,undrage/wt,33.8641608,-118.1935283
A600258,cat,black,NA,Female,2017-10-12,2017-11-18,37,under age/weight,stray,field,NA,2017-11-18,euthanasia,ill severe,33.7926733,-118.1805902
A730219,dog,brown,white,Female,2023-10-15,2024-10-15,366,injured  severe,owner surrender,field,NA,2024-10-19,return to owner,fre rid hm,33.8766789,-118.2025182
A703496,cat,white,orange,Female,2023-06-25,2023-07-25,30,ill moderatete,stray,field,NA,2023-08-03,rescue,littlepaws,33.7962103,-118.1806361
A707739,cat,black,NA,Male,2020-09-28,2023-09-28,1095,injured  severe,stray,field,NA,2023-09-28,euthanasia,ill severe,33.8500371,-118.1799657
A625147,dog,white,black,Neutered,2015-04-23,2019-04-23,1461,behavior  severe,stray,field,NA,2019-05-26,died,at vet,33.8038198,-118.1804545
A584750,dog,gray,tan,Female,2011-01-18,2017-01-18,2192,normal,stray,field,NA,2017-02-02,transfer,spcala,33.8799165,-118.2025639
A626918,cat,gray,NA,Male,2019-04-23,2019-05-23,30,under age/weight,stray,field,NA,2019-05-25,rescue,other resc,33.7791895,-118.1555363
A658956,cat,gray,white,Neutered,2021-04-29,2021-06-17,49,ill severe,stray,field,NA,2021-07-14,adoption,web,33.8742238,-118.2026551
A640457,cat,gray,white,Unknown,2019-08-26,2020-02-26,184,injured  severe,stray,field,NA,2020-02-26,euthanasia,at vet,33.8672067,-118.2005567
A619344,dog,white,brown brindle,Male,2017-12-27,2018-12-27,365,normal,stray,field,NA,2019-01-04,return to owner,web,33.7996711,-118.1923808
A596000,dog,brown,white,Male,2014-02-25,2017-08-25,1277,normal,owner surrender,field,NA,2017-09-22,adoption,spcala,33.8566144,-118.1952897
A649444,cat,black,white,Female,2017-09-28,2020-09-28,1096,ill moderatete,stray,field,NA,2020-10-12,rescue,littlelion,33.7789754,-118.1795513
A678628,dog,white,brown,Female,NA,2022-07-01,NA,injured  severe,stray,field,NA,2022-07-01,euthanasia,at vet,33.8566144,-118.1952897
A728593,cat,black,NA,Male,2024-08-13,2024-09-13,31,ill moderatete,stray,field,NA,2024-09-14,rescue,littlelion,33.7971283,-118.1925701
A586481,dog,black,brown,Male,2016-03-02,2017-03-02,365,normal,stray,field,NA,2017-03-21,rescue,other resc,33.8628136,-118.1939022
A592491,dog,white,brown,Female,2017-05-23,2017-06-26,34,under age/weight,stray,field,NA,2017-06-26,euthanasia,undrage/wt,33.8540693,-118.1935615
A585497,cat,black,NA,Male,2016-10-07,2017-02-07,123,normal,stray,field,NA,2017-02-11,return to owner,walkin,33.8540693,-118.1935615
A614843,dog,brown,NA,Male,2016-09-17,2018-09-17,730,injured  severe,stray,field,NA,2018-09-17,died,enroute,33.77895720000001,-118.1980407
A587498,cat,black,NA,Neutered,2012-03-24,2017-03-24,1826,ill severe,stray,field,NA,2017-07-05,adoption,pfe/pawshp,33.7789934,-118.2006268
A730230,cat,black,NA,Neutered,2024-04-16,2024-10-16,183,ill severe,stray,field,NA,2024-11-01,community cat,friendly,33.778863,-118.1805306
A701700,cat,gray,white,Spayed,2023-05-12,2023-06-27,46,injured  moderate,stray,field,NA,2023-08-09,adoption,NA,33.789591,-118.1920452
A588089,dog,white,black,Male,2012-04-05,2017-04-05,1826,injured  severe,stray,field,NA,2017-04-06,euthanasia,inj severe,33.789591,-118.1920452
A616221,dog,tan,NA,Neutered,2013-10-13,2018-10-13,1826,normal,stray,field,NA,2018-12-21,adoption,walkin,33.8509978,-118.1935457
A712692,dog,black,white,Neutered,2019-01-04,2024-01-02,1824,ill mild,stray,field,NA,2024-02-09,rescue,NA,33.8531119,-118.1935153
A676352,cat,black,NA,Male,2022-05-02,2022-06-02,31,ill moderatete,stray,field,NA,2022-06-05,rescue,catpaws,33.7789711,-118.1751043
A576668,dog,white,black,Neutered,2015-10-06,2024-11-04,3317,normal,stray,field,NA,2024-11-04,return to owner,fre rid hm,33.8187238,-118.1923205
A654689,dog,black,white,Neutered,2020-03-05,2021-03-05,365,normal,stray,field,NA,2021-03-28,adoption,web,33.7789717,-118.1757148
A713310,cat,gray,white,Neutered,2023-01-14,2024-01-14,365,injured  moderate,stray,field,NA,2024-01-30,community cat,friendly,33.7660731,-118.1718028
A666549,dog,white,NA,Male,2018-11-10,2022-09-22,1412,injured  mild,stray,field,NA,2022-09-22,return to owner,microchip,33.7683347,-118.1860924
A635044,dog,tan,NA,Female,2018-12-15,2019-10-15,304,normal,stray,field,NA,2019-10-22,transfer,spcala,33.7683013,-118.1887403
A596641,dog,white,black,Male,2014-09-07,2017-09-07,1096,normal,stray,field,NA,2017-11-16,euthanasia,ill modera,33.7791563,-118.1406832
A728342,cat,gray,white,Neutered,2020-09-09,2024-09-09,1461,injured  moderate,stray,field,NA,2024-10-16,adoption,web,33.7684834,-118.1933559
A734333,dog,tan,NA,Spayed,2023-06-15,2024-12-15,549,normal,stray,field,NA,2024-12-26,adoption,walkin,33.7684834,-118.1933559
A672776,dog,tan,white,Neutered,2021-04-07,2022-04-07,365,normal,stray,field,NA,2022-04-07,return to owner,fre rid hm,33.778976,-118.1437159
A644675,cat,black,white,Spayed,2019-07-01,2020-07-01,366,fractious,stray,field,NA,2020-07-31,rescue,kittybunga,33.7583325,-118.2403305
A644676,cat,black,NA,Female,2020-05-01,2020-07-01,61,normal,stray,field,NA,2020-07-24,rescue,catpaws,33.7583325,-118.2403305
A645261,cat,black,NA,Male,2020-05-09,2020-07-09,61,fractious,stray,field,NA,2020-07-24,rescue,catpaws,33.7583325,-118.2403305
A614314,cat,tan,white,Male,2018-01-01,2018-09-08,250,injured  moderate,stray,field,NA,2018-09-08,return to owner,microchip,33.7789905,-118.1589358
A714167,dog,white,NA,Neutered,2023-01-28,2024-01-28,365,i/i report,stray,field,NA,2024-02-02,rescue,NA,33.7645808,-118.1921171
A573848,cat,black,white,Neutered,2006-06-24,2024-07-29,6610,injured  mild,stray,field,NA,2024-07-31,return to owner,fre rid hm,33.7789711,-118.1458962
A655366,dog,tan,white,Neutered,2020-09-25,2021-03-24,180,normal,stray,field,NA,2021-04-02,adoption,web,33.76797390000001,-118.1925342
A537034,dog,white,black,Spayed,2010-11-26,2021-06-29,3868,ill moderatete,owner surrender,field,cost,2021-07-01,rescue,livelove,33.8436238,-118.1968518
A706944,cat,gray,white,Female,2020-09-15,2023-09-15,1095,ill severe,stray,field,NA,2023-09-15,euthanasia,inj severe,33.8702803,-118.2032493
A638421,dog,white,white,Female,2019-01-11,2020-01-10,364,normal,stray,field,NA,2020-01-11,return to owner,walkin,33.7971283,-118.1925701
A607840,bird,brown,yellow,Unknown,2018-04-18,2018-05-18,30,normal,stray,field,NA,2018-05-19,rescue,wardsmtn,33.8548651,-118.1986475
A535254,dog,gray,NA,Spayed,2010-10-28,2022-04-16,4188,aged,stray,field,NA,2022-04-16,return to owner,microchip,33.8540988,-118.1986962
A592150,cat,gray,NA,Female,2017-05-04,2017-06-19,46,injured  severe,stray,field,NA,2017-06-19,euthanasia,inj severe,33.7729834,-118.1796718
A688255,cat,black,NA,Female,2019-11-09,2022-11-09,1096,injured  severe,stray,field,NA,2022-11-09,euthanasia,inj severe,33.8688249,-118.203295
A632535,cat,white,gray,Neutered,2019-08-04,2019-08-25,21,under age/weight,stray,field,NA,2019-11-09,adoption,pfe/pawshp,33.8495902,-118.1990145
A637974,cat,black,NA,Neutered,2013-12-28,2019-12-28,2191,fractious,stray,field,NA,2020-01-03,"shelter, neuter, return",NA,33.7962103,-118.1806361
A669193,cat,black,NA,Male,2021-11-09,2022-01-09,61,normal,stray,field,NA,2022-01-13,rescue,catpaws,33.8038198,-118.1804545
A681309,dog,gray,white,Neutered,2018-08-01,2022-08-01,1461,normal,stray,field,NA,2022-08-13,adoption,NA,33.7683322,-118.1993529
A612998,cat,black,NA,Spayed,2018-08-08,2018-08-17,9,under age/weight,stray,field,NA,2019-02-02,adoption,repeat adt,33.7791895,-118.1555363
A588356,dog,white,gray,Female,2016-11-10,2017-04-09,150,injured  severe,owner surrender,field,cost,2017-04-20,rescue,other resc,33.7789674,-118.1736336
A617029,dog,white,brown,Female,2014-11-02,2018-11-02,1461,normal,stray,field,NA,2018-11-09,transfer,spcala,33.7789754,-118.1795513
A712611,cat,black,NA,Neutered,2021-01-02,2023-12-30,1092,injured  moderate,owner surrender,field,injured,2024-01-14,adoption,web,33.8799165,-118.2025639
A713616,dog,black,brown,Neutered,2021-01-20,2024-01-20,1095,normal,stray,field,NA,2024-03-06,adoption,web,33.8742238,-118.2026551
A724684,cat,black,white,Spayed,2024-05-27,2024-07-14,48,normal,stray,aban field,NA,2024-08-24,rescue,littlelion,33.8549898,-118.1934473
A709047,cat,black,NA,Female,2023-08-18,2023-08-15,3,under age/weight,stray,field,NA,2023-10-24,transfer,spcala,33.7700504,-118.1937395
A608918,cat,black,NA,Unknown,2018-05-18,2018-06-01,14,under age/weight,stray,field,NA,2018-06-16,rescue,other resc,33.752498,-118.2064365
A723009,cat,black,white,Unknown,2024-06-17,2024-06-19,2,under age/weight,stray,field,NA,2024-06-27,euthanasia,ill modera,33.7655355,-118.1659567
A620392,cat,gray,NA,Female,2017-01-17,2019-01-17,730,normal,stray,field,NA,2019-01-22,rescue,littlelion,33.7791395,-118.1718077
A599981,dog,white,NA,Neutered,2014-11-11,2017-11-11,1096,normal,stray,field,NA,2017-12-17,rescue,livelove,33.7686833,-118.1975282
A612707,dog,brown,black,Male,2015-10-14,2018-08-12,1033,ill mild,stray,field,NA,2018-11-15,rescue,trndogres,33.8517161,-118.1984884
A683077,dog,white,NA,Female,2019-09-04,2022-09-04,1096,normal,stray,field,NA,2022-09-08,return to owner,walkin,33.7789728,-118.1850377
A616575,dog,brown,NA,Male,2018-01-22,2018-10-22,273,ill moderatete,stray,field,NA,2018-10-24,rescue,other resc,33.7789902,-118.1950695
A666386,dog,brown,white,Male,2021-01-25,2021-11-08,287,normal,stray,field,NA,2021-11-10,return to owner,walkin,33.775024,-118.1793487
A601854,dog,tan,NA,Neutered,2016-03-11,2021-02-25,1812,normal,stray,field,NA,2021-02-26,return to owner,walkin,33.7789902,-118.1950695
A617895,dog,white,tan,Male,2018-10-23,2018-11-23,31,ill severe,stray,field,NA,2018-11-25,died,in care,33.7789902,-118.1950695
A600398,dog,brown,NA,Male,2014-11-23,2017-11-23,1096,injured  severe,stray,field,NA,2017-11-23,euthanasia,at vet,33.7790114,-118.1676651
A590059,cat,black,white,Female,2017-02-23,2017-05-10,76,ill mild,stray,field,NA,2017-06-22,rescue,catpaws,33.7789723,-118.1654888
A675785,cat,gray,NA,Female,2022-03-25,2022-05-25,61,normal,stray,field,NA,2022-07-06,adoption,NA,33.7878608,-118.1800616
A727252,cat,gray,white,Male,2024-07-21,2024-08-21,31,ill mild,stray,field,NA,2024-08-22,euthanasia,at vet,33.7953124,-118.1806961
A664253,cat,black,white,Female,2020-09-22,2021-09-22,365,injured  severe,stray,field,NA,2021-09-22,euthanasia,ill severe,33.8620611,-118.1083511
A663347,cat,black,NA,Female,2019-09-05,2021-09-05,731,injured  moderate,stray,field,NA,2021-09-08,euthanasia,inj severe,33.7714936,-118.1796768
A613018,cat,gray,NA,Unknown,2018-07-17,2018-08-17,31,under age/weight,stray,field,NA,2018-08-17,euthanasia,undrage/wt,33.7714936,-118.1796768
A584941,dog,black,brown,Male,2012-01-23,2017-01-23,1827,normal,stray,field,NA,2017-01-25,return to owner,walkin,33.8762079,-118.1811311
A592317,cat,black,white,Unknown,2017-05-23,2017-06-23,31,under age/weight,stray,field,NA,2017-06-30,transfer,spcala,33.7751351,-118.1799603
A590821,cat,black,white,Unknown,2017-05-16,2017-05-25,9,under age/weight,stray,field,NA,2017-05-25,euthanasia,undrage/wt,33.7751351,-118.1799603
